date,time,symbol,open,high,low,close,volume,oi
31/07/2025,09:15:00,NIFTY,24693.0,24693.0,24693.0,24693.0,4800,6997125
31/07/2025,09:15:01,NIFTY,24680.0,24680.0,24680.0,24680.0,11625,6997125
31/07/2025,09:15:03,NIFTY,24683.4,24683.4,24683.4,24683.4,9675,6997125
31/07/2025,09:15:04,NIFTY,24681.6,24681.6,24681.6,24681.6,7050,6997125
31/07/2025,09:15:06,NIFTY,24685.4,24685.4,24685.4,24685.4,2625,6997125
31/07/2025,09:15:08,NIFTY,24672.9,24672.9,24672.9,24672.9,9225,6997125
31/07/2025,09:15:09,NIFTY,24678.1,24678.1,24678.1,24678.1,6225,6997125
31/07/2025,09:15:11,NIFTY,24697.5,24697.5,24697.5,24697.5,5550,6997125
31/07/2025,09:15:12,NIFTY,24694.1,24694.1,24694.1,24694.1,9525,6997125
31/07/2025,09:15:14,NIFTY,24690.1,24690.1,24690.1,24690.1,1500,6997125
31/07/2025,09:15:16,NIFTY,24695.0,24695.0,24695.0,24695.0,1800,6997125
31/07/2025,09:15:17,NIFTY,24692.9,24692.9,24692.9,24692.9,3525,6997125
31/07/2025,09:15:19,NIFTY,24694.8,24694.8,24694.8,24694.8,2550,6997125
31/07/2025,09:15:21,NIFTY,24695.0,24695.0,24695.0,24695.0,2475,6997125
31/07/2025,09:15:22,NIFTY,24692.3,24692.3,24692.3,24692.3,825,6997125
31/07/2025,09:15:24,NIFTY,24699.8,24699.8,24699.8,24699.8,1275,6997125
31/07/2025,09:15:26,NIFTY,24700.0,24700.0,24700.0,24700.0,1650,6997125
31/07/2025,09:15:27,NIFTY,24700.0,24700.0,24700.0,24700.0,1725,6997125
31/07/2025,09:15:29,NIFTY,24700.0,24700.0,24700.0,24700.0,3225,6997125
31/07/2025,09:15:31,NIFTY,24699.9,24699.9,24699.9,24699.9,1800,6997125
31/07/2025,09:15:32,NIFTY,24698.1,24698.1,24698.1,24698.1,1875,6997125
31/07/2025,09:15:34,NIFTY,24686.0,24686.0,24686.0,24686.0,2100,6997125
31/07/2025,09:15:35,NIFTY,24686.0,24686.0,24686.0,24686.0,1050,6997125
31/07/2025,09:15:37,NIFTY,24692.4,24692.4,24692.4,24692.4,3900,6990225
31/07/2025,09:15:39,NIFTY,24691.2,24691.2,24691.2,24691.2,1200,6990225
31/07/2025,09:15:40,NIFTY,24689.1,24689.1,24689.1,24689.1,2100,6990225
31/07/2025,09:15:42,NIFTY,24685.4,24685.4,24685.4,24685.4,675,6990225
31/07/2025,09:15:44,NIFTY,24686.0,24686.0,24686.0,24686.0,2775,6990225
31/07/2025,09:15:45,NIFTY,24685.4,24685.4,24685.4,24685.4,750,6990225
31/07/2025,09:15:47,NIFTY,24692.3,24692.3,24692.3,24692.3,1350,6990225
31/07/2025,09:15:49,NIFTY,24690.9,24690.9,24690.9,24690.9,1125,6990225
31/07/2025,09:15:50,NIFTY,24691.6,24691.6,24691.6,24691.6,375,6990225
31/07/2025,09:15:52,NIFTY,24691.6,24691.6,24691.6,24691.6,2100,6990225
31/07/2025,09:15:53,NIFTY,24692.4,24692.4,24692.4,24692.4,1575,6990225
31/07/2025,09:15:55,NIFTY,24691.6,24691.6,24691.6,24691.6,1350,6990225
31/07/2025,09:15:57,NIFTY,24695.1,24695.1,24695.1,24695.1,3600,6990225
31/07/2025,09:15:58,NIFTY,24691.0,24691.0,24691.0,24691.0,2550,6990225
31/07/2025,09:16:00,NIFTY,24685.3,24685.3,24685.3,24685.3,3150,6990225
31/07/2025,09:16:02,NIFTY,24682.0,24682.0,24682.0,24682.0,11325,6990225
31/07/2025,09:16:03,NIFTY,24682.0,24682.0,24682.0,24682.0,1800,6990225
31/07/2025,09:16:05,NIFTY,24675.1,24675.1,24675.1,24675.1,4875,6990225
